,Date,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
25,2018-04-08,STL,28.0,121,10.3,3.5,2.9,0.6,26.5%,9.1%,17.4%,.275,1.46,.373,79.1%,3.09,3.58
26,2018-04-08,SEA,23.2,100,10.6,1.5,7.0,1.5,28.0%,4.0%,24.0%,.255,1.18,.323,82.0%,3.75,3.51
27,2018-04-08,NYM,27.1,106,11.9,3.3,3.6,1.0,34.0%,9.4%,24.5%,.158,0.91,.214,100.0%,3.16,3.43
28,2018-04-08,HOU,28.0,117,10.0,1.9,5.2,0.6,26.5%,5.1%,21.4%,.245,1.18,.325,80.1%,2.63,3.29
29,2018-04-08,NYY,34.2,147,13.5,3.6,3.7,1.3,35.4%,9.5%,25.9%,.218,1.24,.316,63.9%,3.25,2.90
0,2018-04-09,CIN,26.2,121,7.8,4.7,1.6,1.4,19.0%,11.6%,7.4%,.279,1.61,.325,61.9%,5.30,5.27
1,2018-04-09,CHW,25.1,119,9.6,4.6,2.1,1.1,22.7%,10.9%,11.8%,.269,1.62,.338,56.7%,4.35,5.22
2,2018-04-09,KCR,20.2,90,5.7,4.4,1.3,2.2,14.4%,11.1%,3.3%,.228,1.35,.213,59.1%,6.64,5.18
3,2018-04-09,TBR,43.1,190,7.7,4.4,1.8,0.8,19.5%,11.1%,8.4%,.239,1.41,.286,67.9%,4.25,5.07
4,2018-04-09,PIT,33.1,149,7.6,5.4,1.4,0.5,18.8%,13.4%,5.4%,.250,1.56,.306,63.7%,4.15,5.06
5,2018-04-09,ATL,38.2,165,8.4,6.3,1.3,0.0,21.8%,16.4%,5.5%,.169,1.29,.230,86.5%,3.55,4.92
6,2018-04-09,DET,31.2,130,8.0,3.4,2.3,0.6,21.5%,9.2%,12.3%,.205,1.14,.253,61.4%,3.45,4.87
7,2018-04-09,MIN,24.2,106,9.9,6.2,1.6,1.1,25.5%,16.0%,9.4%,.202,1.42,.254,77.9%,4.62,4.51
8,2018-04-09,LAA,46.2,190,8.9,4.4,2.0,0.8,24.2%,12.1%,12.1%,.194,1.18,.243,85.6%,3.91,4.46
9,2018-04-09,PHI,32.1,139,7.8,3.9,2.0,1.1,20.1%,10.1%,10.1%,.221,1.27,.256,59.9%,4.61,4.44
10,2018-04-09,BOS,34.0,145,9.8,5.3,1.9,0.5,25.5%,13.8%,11.7%,.202,1.32,.271,69.4%,3.60,4.34
11,2018-04-09,MIA,50.2,214,8.5,3.4,2.5,0.9,22.4%,8.9%,13.6%,.227,1.24,.277,66.7%,3.73,4.21
12,2018-04-09,CLE,26.0,104,9.3,2.8,3.4,1.4,26.0%,7.7%,18.3%,.194,1.00,.226,85.5%,4.35,4.20
13,2018-04-09,TOR,33.1,140,9.2,2.7,3.4,1.4,24.3%,7.1%,17.1%,.236,1.20,.284,88.9%,4.24,4.17
14,2018-04-09,COL,37.0,149,7.8,3.2,2.5,1.0,21.5%,8.7%,12.8%,.218,1.14,.258,66.0%,4.13,4.16
15,2018-04-09,BAL,48.0,203,8.8,4.5,2.0,0.8,23.2%,11.8%,11.3%,.223,1.31,.282,74.9%,4.04,4.16
16,2018-04-09,OAK,41.0,175,6.8,2.0,3.4,1.1,17.7%,5.1%,12.6%,.273,1.32,.310,75.0%,3.97,4.15
17,2018-04-09,LAD,37.2,151,8.4,2.6,3.2,1.0,23.2%,7.3%,15.9%,.243,1.19,.297,78.7%,3.56,3.98
18,2018-04-09,TEX,43.0,181,9.4,3.8,2.5,0.6,24.9%,9.9%,14.9%,.222,1.26,.289,74.8%,3.30,3.97
19,2018-04-09,NYM,34.1,136,10.7,4.2,2.6,0.8,30.1%,11.8%,18.4%,.160,1.02,.213,97.5%,3.39,3.85
20,2018-04-09,WSN,31.2,129,10.8,3.7,2.9,1.1,29.5%,10.1%,19.4%,.203,1.14,.268,56.9%,3.92,3.84
