,Date,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
10,2018-04-23,Jason Hammel,KCR,25.1,105,5.7,2.5,2.3,0.4,15.2%,6.7%,8.6%,.235,1.18,.272,73.4%,3.24,4.62
11,2018-04-23,Trevor Bauer,CLE,27.0,114,9.0,3.3,2.7,0.7,23.7%,8.8%,14.9%,.198,1.11,.250,82.8%,3.57,4.44
12,2018-04-23,Ian Kennedy,KCR,23.0,100,8.6,2.7,3.1,1.2,22.0%,7.0%,15.0%,.247,1.30,.294,85.3%,3.86,3.96
13,2018-04-23,Carlos Carrasco,CLE,27.2,102,6.8,1.3,5.3,1.0,20.6%,3.9%,16.7%,.184,0.80,.203,78.6%,3.49,3.63
14,2018-04-23,Corey Kluber,CLE,36.2,135,9.1,1.5,6.2,1.0,27.4%,4.4%,23.0%,.171,0.76,.204,89.3%,3.05,3.08
15,2018-04-23,Jose Berrios,MIN,27.2,99,9.4,0.3,29.0,0.3,29.3%,1.0%,28.3%,.155,0.58,.209,76.9%,1.75,2.65
0,2018-04-24,Lucas Giolito,CHW,20.0,99,4.0,8.6,0.5,0.5,9.1%,19.2%,-10.1%,.237,1.85,.258,50.5%,6.36,8.60
1,2018-04-24,James Shields,CHW,22.2,103,4.4,4.4,1.0,0.4,10.7%,10.7%,0.0%,.275,1.59,.304,61.8%,4.35,5.67
2,2018-04-24,Reynaldo Lopez,CHW,24.0,97,8.6,5.6,1.5,0.8,23.7%,15.5%,8.3%,.146,1.13,.175,90.9%,4.20,5.12
3,2018-04-24,Jake Odorizzi,MIN,26.0,112,8.3,4.8,1.7,2.1,21.4%,12.5%,8.9%,.235,1.42,.250,83.9%,5.93,5.03
4,2018-04-24,Danny Duffy,KCR,25.2,117,8.8,4.6,1.9,1.4,21.4%,11.1%,10.3%,.250,1.52,.293,68.9%,4.76,4.79
5,2018-04-24,Francisco Liriano,DET,23.0,92,7.8,4.7,1.7,1.2,21.7%,13.0%,8.7%,.175,1.13,.193,82.6%,4.68,4.78
6,2018-04-24,Michael Fulmer,DET,23.1,100,5.0,2.3,2.2,1.2,13.0%,6.0%,7.0%,.283,1.37,.303,73.8%,4.75,4.70
7,2018-04-24,Mike Clevinger,CLE,25.2,99,6.0,2.8,2.1,0.4,17.2%,8.1%,9.1%,.209,1.05,.247,85.9%,3.28,4.70
8,2018-04-24,Jakob Junis,KCR,26.2,102,6.8,1.7,4.0,1.0,19.6%,4.9%,14.7%,.160,0.75,.169,90.4%,4.02,4.67
9,2018-04-24,Kyle Gibson,MIN,21.0,94,8.6,4.7,1.8,0.4,21.3%,11.7%,9.6%,.232,1.43,.295,67.6%,3.59,4.62
10,2018-04-24,Jason Hammel,KCR,25.1,105,5.7,2.5,2.3,0.4,15.2%,6.7%,8.6%,.235,1.18,.272,73.4%,3.24,4.62
11,2018-04-24,Trevor Bauer,CLE,27.0,114,9.0,3.3,2.7,0.7,23.7%,8.8%,14.9%,.198,1.11,.250,82.8%,3.57,4.44
