,Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,RL,Open OU,Unnamed: 19,Close OU,Unnamed: 21,source,qp_match,fit,hand,qp,concat
3656,815,911,V,SEA,MLEAKE-R,0,0,0,0,0,0,0,0,0,2,122,101.0,+1.5(-215),9.0,-110,8.5,-112,MLEAKE,MLeake,100.0,R,Mike Leake,815911MLEAKE-R
3657,815,912,H,OAK,BANDERSON-L,0,0,0,0,0,0,0,0,0,0,-137,-111.0,-1.5(+180),9.0,-110,8.5,-108,BANDERSON,BAnderson,100.0,L,Brett Anderson,815912BANDERSON-L
3658,815,913,V,TAM,JFARIA-R,0,1,2,2,1,0,0,0,0,6,175,165.0,+1.5(-128),9.0,-105,9.0,-125,JFARIA,JFaria,100.0,R,Jake Faria,815913JFARIA-R
3659,815,914,H,NYY,LCESSA-R,0,1,0,0,0,0,0,0,0,1,-200,-185.0,-1.5(+107),9.0,-115,9.0,105,,,,,,815914LCESSA-R
3660,815,915,V,TOR,MESTRADA-R,0,1,0,5,0,0,0,0,0,6,-135,-124.0,-1.5(+132),9.0,-110,9.0,-105,MESTRADA,MEstrada,100.0,R,Marco Estrada,815915MESTRADA-R
3661,815,916,H,KAN,JLOPEZ-R,2,0,0,1,0,0,1,0,1,5,120,114.0,+1.5(-152),9.0,-110,9.0,-115,JLOPEZ,JLopez,100.0,R,Jorge Lopez,815916JLOPEZ-R
3662,815,917,V,PIT,CARCHER-R,0,1,0,3,0,0,0,0,0,4,110,105.0,+1.5(-210),8.0,-115,7.5,-119,CARCHER,CArcher,100.0,R,Chris Archer,815917CARCHER-R
3663,815,918,H,MIN,JBERRIOS-R,0,2,0,0,0,3,1,0,x,6,-125,-115.0,-1.5(+176),8.0,-105,7.5,-101,JBERRIOS,JBerrios,100.0,R,Jose Berrios,815918JBERRIOS-R
3664,815,919,V,NYM,ZWHEELER-R,2,0,0,2,1,9,0,0,2,16,-135,-126.0,-1.5(+129),8.5,-120,8.5,-120,ZWHEELER,ZWheeler,100.0,R,Zack Wheeler,815919ZWHEELER-R
3665,815,920,H,BAL,DBUNDY-R,1,0,0,0,0,0,1,3,0,5,120,111.0,+1.5(-149),8.5,100,8.5,100,DBUNDY,DBundy,100.0,R,Dylan Bundy,815920DBUNDY-R
3666,815,921,V,BOS,NEOVALDI-R,0,0,3,0,0,0,0,1,0,4,-143,-105.0,-1.5(+151),9.0,-110,8.5,-117,NEOVALDI,NEovaldi,100.0,R,Nathan Eovaldi,815921NEOVALDI-R
3667,815,922,H,PHI,VVELASQUEZ-R,0,0,0,3,0,1,3,0,x,7,128,-105.0,+1.5(-175),9.0,-110,8.5,-103,VVELASQUEZ,VVelasquez,100.0,R,Vince Velasquez,815922VVELASQUEZ-R
